sample_idx,has_hemorrhage,iou_hemorrhage,iou_background,mean_iou,true_positives,false_positives,false_negatives,true_negatives,sensitivity,specificity,precision,recall,dice
962,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
963,True,0.1171,0.9893,0.5532,93,62,639,64742,0.127,0.999,0.6,0.127,0.2097
964,True,0.9268,0.9991,0.9629,747,49,10,64730,0.9868,0.9992,0.9384,0.9868,0.962
965,False,0.0,0.9999,0.5,0,5,0,65531,N/A,0.9999,0.0,N/A,0.0
966,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
967,True,0.1862,0.9948,0.5905,78,0,341,65117,0.1862,1.0,1.0,0.1862,0.3139
968,True,0.0,0.9921,0.496,0,0,521,65015,0.0,1.0,N/A,0.0,0.0
969,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
970,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
971,False,0.0,0.9994,0.4997,0,38,0,65498,N/A,0.9994,0.0,N/A,0.0
972,True,0.6602,0.9899,0.825,1267,652,0,63617,1.0,0.9899,0.6602,1.0,0.7954
973,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
974,True,0.0,0.9993,0.4996,0,0,46,65490,0.0,1.0,N/A,0.0,0.0
975,False,0.0,0.9995,0.4998,0,31,0,65505,N/A,0.9995,0.0,N/A,0.0
976,True,0.7959,0.9983,0.8971,429,70,40,64997,0.9147,0.9989,0.8597,0.9147,0.8864
977,True,0.5622,0.9952,0.7787,402,207,106,64821,0.7913,0.9968,0.6601,0.7913,0.7198
978,True,0.3082,0.9985,0.6533,45,99,2,65390,0.9574,0.9985,0.3125,0.9574,0.4712
979,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
980,True,0.0103,0.9868,0.4986,9,1,861,64665,0.0103,1.0,0.9,0.0103,0.0205
